This is a record of the ancestors of Jesus the Messiah , a descendant of David and of Abraham : ||| Das Buch der Geschichte Jesu Christi , des Sohnes Davids , des Sohnes Abrahams :
Abraham was the father of Isaac . Isaac was the father of Jacob . Jacob was the father of Judah and his brothers . ||| Abraham wurde der Vater Ịsa·aks ; Ịsa·ak wurde der Vater Jakobs ; Jakob wurde der Vater Judas und seiner Brüder ;
Judah was the father of Perez and Zerah ( whose mother was Tamar ) . Perez was the father of Hezron . Hezron was the father of Ram . ||| Juda wurde der Vater des Pẹrez und des Sẹrach , deren Mutter Tạmar war ; Pẹrez wurde der Vater Hẹzrons ; Hẹzron wurde der Vater Rams ;
Ram was the father of Amminadab . Amminadab was the father of Nahshon . Nahshon was the father of Salmon . ||| Ram wurde der Vater Amminạdabs ; Amminạdab wurde der Vater Nạchschons ; Nạchschon wurde der Vater Sạlmons ;
Salmon was the father of Boaz ( whose mother was Rahab ) . Boaz was the father of Obed ( whose mother was Ruth ) . Obed was the father of Jesse . ||| Sạlmon wurde der Vater des Bọas , dessen Mutter Rạhab war ; Bọas wurde der Vater Ọbeds , dessen Mutter Ruth war ; Ọbed wurde der Vater Ịsaïs ;
Jesse was the father of King David . David was the father of Solomon ( whose mother was Bathsheba , the widow of Uriah ) . ||| Ịsaï wurde der Vater Davids , des Königs . David wurde der Vater Sạlomos , dessen Mutter die Frau Urịas war ;
Solomon was the father of Rehoboam . Rehoboam was the father of Abijah . Abijah was the father of Asa . ||| Sạlomo wurde der Vater Rehạbeams ; Rehạbeam wurde der Vater Abịjas ; Abịja wurde der Vater Ạsas ;
Asa was the father of Jehoshaphat . Jehoshaphat was the father of Jehoram . Jehoram was the father of Uzziah . ||| Ạsa wurde der Vater Jọsaphats ; Jọsaphat wurde der Vater Jọrams ; Jọram wurde der Vater Usịjas ;
Uzziah was the father of Jotham . Jotham was the father of Ahaz . Ahaz was the father of Hezekiah . ||| Usịja wurde der Vater Jọthams ; Jọtham wurde der Vater des Ạhas ; Ạhas wurde der Vater Hiskịas ;
Hezekiah was the father of Manasseh . Manasseh was the father of Amon . Amon was the father of Josiah . ||| Hiskịa wurde der Vater Manạsses ; Manạsse wurde der Vater Ạmons ; Ạmon wurde der Vater Josịas ;
Josiah was the father of Jehoiachin and his brothers ( born at the time of the exile to Babylon ) . ||| Josịa wurde der Vater Jechọnjas und seiner Brüder zur Zeit der Wegführung nach Babylon .
After the Babylonian exile : Jehoiachin was the father of Shealtiel . Shealtiel was the father of Zerubbabel . ||| Nach der Wegführung nach Babylon wurde Jechọnja der Vater Scheạltiëls ; Scheạltiël wurde der Vater Serubbạbels ;
Zerubbabel was the father of Abiud . Abiud was the father of Eliakim . Eliakim was the father of Azor . ||| Serubbạbel wurde der Vater Ạbiuds ; Ạbiud wurde der Vater Ẹljakims ; Ẹljakim wurde der Vater Ạzors ;
Azor was the father of Zadok . Zadok was the father of Akim . Akim was the father of Eliud . ||| Ạzor wurde der Vater Zạdoks ; Zạdok wurde der Vater Ạchims ; Ạchim wurde der Vater Ẹliuds ;
Eliud was the father of Eleazar . Eleazar was the father of Matthan . Matthan was the father of Jacob . ||| Ẹliud wurde der Vater Eleạsars ; Eleạsar wurde der Vater Mạtthans ; Mạtthan wurde der Vater Jakobs ;
